name,site_code,date,time,ele,lat,lon,device
T0,NMB,2025-07-08,2025-07-08T11:10:43Z,-52.998329,-18.884259,47.533415,FROG
T1,NMB,2025-07-08,2025-07-08T11:23:21Z,-48.603573,-15.498055,49.762871,FROG
T2,NMB,2025-07-08,2025-07-08T11:27:54Z,-48.995464,-15.498207,49.762872,FROG
T3,NMB,2025-07-08,2025-07-08T11:31:04Z,-48.678219,-15.498995,49.762775,FROG
T4,NMB,2025-07-08,2025-07-08T11:33:16Z,-45.58976,-15.499781,49.762737,FROG
T5,NMB,2025-07-08,2025-07-08T11:36:51Z,-43.537006,-15.500581,49.763076,FROG
T6,NMB,2025-07-08,2025-07-08T11:39:03Z,-47.22263,-15.501381,49.762854,FROG
T7,NMB,2025-07-08,2025-07-08T11:41:11Z,-46.541489,-15.502168,49.762629,FROG
T8,NMB,2025-07-08,2025-07-08T11:43:28Z,-48.071724,-15.502728,49.76194,FROG
T9,NMB,2025-07-08,2025-07-08T11:45:29Z,-46.205585,-15.503202,49.76197,FROG
T10,NMB,2025-07-08,2025-07-08T11:49:47Z,-40.532524,-15.503715,49.762664,FROG
T11,NMB,2025-07-08,2025-07-08T11:51:34Z,-38.059891,-15.503966,49.763129,FROG
T12,NMB,2025-07-08,2025-07-08T11:54:31Z,-28.094713,-15.504639,49.763485,FROG
T13,NMB,2025-07-08,2025-07-08T11:57:17Z,-23.233423,-15.505101,49.764203,FROG
T15,NMB,2025-07-08,2025-07-08T12:07:04Z,29.783567,-15.506081,49.765217,FROG
T16,NMB,2025-07-08,2025-07-08T12:12:00Z,50.404396,-15.505817,49.765812,FROG
t17,NMB,2025-07-08,2025-07-08T12:16:19Z,74.925453,-15.50503,49.766348,FROG
T18,NMB,2025-07-08,2025-07-08T12:19:36Z,109.896889,-15.504389,49.766757,FROG
T19,NMB,2025-07-08,2025-07-08T12:23:18Z,84.358788,-15.503813,49.76741,FROG
T20,NMB,2025-07-08,2025-07-08T12:26:16Z,96.591324,-15.503141,49.767839,FROG
T21,NMB,2025-07-08,2025-07-08T12:29:10Z,123.015839,-15.502452,49.768087,FROG
T22,NMB,2025-07-08,2025-07-08T12:31:56Z,138.626083,-15.501695,49.768489,FROG
Capture 1,NMB,2025-07-08,2025-07-08T12:36:26Z,158.164551,-15.501094,49.768813,FROG
T23,NMB,2025-07-08,2025-07-08T12:37:27Z,158.929672,-15.501031,49.768822,FROG
Capture 2,NMB,2025-07-08,2025-07-08T12:40:50Z,156.634323,-15.500905,49.768801,FROG
T24,NMB,2025-07-08,2025-07-08T12:43:40Z,147.340958,-15.50066,49.768532,FROG
T25,NMB,2025-07-08,2025-07-08T12:46:31Z,134.557907,-15.500468,49.767978,FROG
Capture 3,NMB,2025-07-08,2025-07-08T12:48:03Z,130.461731,-15.500551,49.767856,FROG
T26,NMB,2025-07-08,2025-07-08T12:53:00Z,99.017303,-15.500617,49.767266,FROG
